plataforma,nivel_dss,cantidad_de_bytes_de_envio,tiempo_kem,tiempo_dss,tiempo_mensaje,cpu_kem,cpu_dss,cpu_mensaje,ram_kem,ram_dss,ram_mensaje
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02295832,0.0003437,0.00040804,0.02621483,0.00047095,0.00040883,32.73828125,32.86328125,32.86328125
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02134171,0.00030923,0.00042452,0.02378262,0.00045118,0.00043871,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02183906,0.00013742,0.00044119,0.0236484,0.00013704,0.00044204,32.7421875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02171219,0.00039052,0.00040733,0.02442481,0.00053885,0.00040831,32.62109375,32.74609375,32.74609375
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02332148,0.00094415,0.00042341,0.02526749,0.00114933,0.00042554,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02432622,0.00037513,0.00043727,0.02756187,0.00048353,0.00043803,32.62109375,32.74609375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02323073,0.00047024,0.00068884,0.0257,0.00060909,0.00086075,32.7421875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02260116,0.00027636,0.00041524,0.02531888,0.0003743,0.00041598,32.74609375,32.87109375,32.87109375
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02261205,0.00330632,0.00042968,0.02544985,0.00387842,0.00042916,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02218664,0.00104416,0.00060493,0.0246495,0.00126791,0.00052553,32.6171875,32.6171875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02175317,0.0002937,0.00043128,0.02427539,0.00043045,0.00043178,32.6171875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02192172,0.00044251,0.00045499,0.02516421,0.00048353,0.00047651,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02231858,0.00089853,0.00044197,0.02541289,0.00110953,0.00044093,32.73828125,32.86328125,32.86328125
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02226422,0.00012412,0.00041723,0.02403825,0.00012349,0.0004176,32.8671875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02122198,0.00030635,0.00045,0.02311869,0.00041334,0.00047577,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02127313,0.00059259,0.0004175,0.02405372,0.00080851,0.00044159,32.73828125,32.86328125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02216332,0.00045657,0.00058334,0.02481947,0.00059922,0.00047511,32.6171875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02279969,0.00012271,0.00042414,0.0256292,0.00012222,0.00044969,32.8671875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02407629,0.00012957,0.00042776,0.02733323,0.00012911,0.00042858,32.8671875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02353164,0.00029609,0.00043973,0.02587742,0.00038294,0.0004662,32.73828125,32.86328125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02023482,0.00083709,0.0004971,0.02349385,0.00096554,0.00050632,32.6171875,32.6171875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02017439,0.00106401,0.00061215,0.02664699,0.00133669,0.00052297,32.61328125,32.73828125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02176044,0.0012148,0.00056881,0.02380771,0.00148334,0.00045356,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02227227,0.00091368,0.00040785,0.02528766,0.00113976,0.00040899,32.7421875,32.8671875,32.8671875
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02218002,0.00031964,0.00065686,0.02583846,0.00042996,0.00067548,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02202249,0.00133818,0.00058223,0.0236142,0.00167195,0.000488,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02149513,0.00082291,0.00056317,0.02489835,0.0009902,0.00044897,32.6171875,32.7421875,0
