plataforma,nivel_dss,cantidad_de_bytes_de_envio,tiempo_kem,tiempo_dss,tiempo_mensaje,cpu_kem,cpu_dss,cpu_mensaje,ram_kem,ram_dss,ram_mensaje
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00618988,0.00001367,0.00152746,0.0069,0.000014,0.001591,39.125,39.125,38.984375
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00629513,0.00001429,0.00152996,0.006941,0.000013,0.001598,40.90625,40.90625,40.765625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00625546,0.00001367,0.00159079,0.007299,0.000014,0.001655,39.296875,39.296875,39.15625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00630829,0.00001412,0.0015615,0.006745,0.000015,0.001621,39.109375,39.109375,38.96875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00630642,0.00001354,0.00156021,0.007214,0.000014,0.001627,39.171875,39.171875,39.03125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00622792,0.00001342,0.00151913,0.007011,0.000014,0.001583,38.859375,38.859375,38.71875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00646629,0.00001396,0.00156821,0.00735,0.000013,0.001633,39.390625,39.390625,39.25
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00617762,0.00001358,0.00152546,0.007066,0.000014,0.00159,39.21875,39.21875,39.078125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00634433,0.00001333,0.00150883,0.007093,0.000013,0.001574,39.1875,39.1875,39.046875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00627013,0.000014,0.00154875,0.006693,0.000014,0.001608,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00628004,0.000014,0.00151687,0.007071,0.000014,0.001583,39.125,39.125,38.984375
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00636121,0.00001325,0.00155396,0.007274,0.000017,0.00161,41.09375,41.09375,40.953125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00634787,0.00001383,0.00150154,0.007253,0.000013,0.001601,39.046875,39.046875,38.90625
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00624758,0.0000135,0.00150533,0.006689,0.000013,0.001572,39.21875,39.21875,39.078125
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00637204,0.00001387,0.00158325,0.00704,0.000014,0.001648,39.3125,39.3125,39.171875
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00642962,0.00001354,0.00157308,0.007135,0.000014,0.001643,39.140625,39.140625,39
Linux-6.2.0-1017-aws-aarch64-with-glibc2.35,0,1024,0.00644104,0.00001413,0.00157904,0.007052,0.000014,0.001643,39.296875,39.296875,39.15625
